iter	Passed	Remaining
0	10	1003
1	20	1014
2	32	1040
3	34	831
4	45	856
5	55	867
6	65	871
7	75	872
8	86	869
9	96	865
10	106	862
11	116	857
12	127	851
13	137	845
14	148	839
15	158	831
16	168	822
17	179	815
18	189	807
19	199	797
20	209	788
21	219	778
22	230	770
23	240	760
24	250	750
25	260	740
26	270	731
27	280	722
28	291	712
29	301	702
30	311	692
31	321	682
32	331	673
33	341	663
34	351	653
35	362	643
36	372	634
37	382	624
38	392	614
39	403	604
40	413	594
41	423	585
42	434	575
43	444	565
44	453	554
45	464	545
46	474	534
47	484	524
48	494	514
49	504	504
50	514	494
51	525	484
52	535	474
53	545	464
54	555	454
55	565	444
56	575	434
57	585	423
58	595	413
59	605	403
60	615	393
61	625	383
62	635	373
63	645	363
64	655	353
65	666	343
66	677	333
67	687	323
68	698	313
69	709	303
70	719	293
71	729	283
72	739	273
73	749	263
74	759	253
75	770	243
76	780	233
77	791	223
78	802	213
79	814	203
80	824	193
81	835	183
82	846	173
83	857	163
84	867	153
85	878	142
86	889	132
87	895	122
88	907	112
89	917	101
90	928	91
91	938	81
92	949	71
93	960	61
94	971	51
95	982	40
96	992	30
97	1004	20
98	1024	10
99	1037	0
